rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크
54380661,신입,2026-07-19 15:46:59,2026-07-06,등록일,메리츠화재해상보험(주),실적마감 없는 메리츠화재에서 영업직 및 관리직 채용,"손해보험사, ,, 보험설계사, ,, 보험사",강원 춘천시,경력무관,학력무관,위촉직,~09/04(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54380661
54408261,신입,2026-07-19 15:46:59,2026-07-08,등록일,(주)맨파워코리아,-대기업/ 평택/ 주간/ 셔틀/ 반도체 사내물류 현장직원 채용,"검품/검수, ,, 단순생산직, ,, 물류관리, ,, QA, ,, 물류자동화, 외",경기 평택시,신입,고졸↑,계약직,~07/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54408261
54481479,신입,2026-07-19 15:46:59,2026-07-19,수정일,(주)프로에스콤,[당비비/보일러.공조냉동] 2호선 교대역 앞. 복합상가 기계기사,"시설관리, ,, 전기기사, ,, 건물관리자, ,, 영선, ,, 기계기사, 외",서울 서초구,경력 1~15년,학력무관,,~08/15(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54481479
54346653,신입,2026-07-19 15:46:59,2026-07-19,수정일,글로벌JMT,파리크라상 정규직 모집/ 초보가능/기숙사 /복지최고,"포장, ,, 장비/공구, ,, 생산, ,, 품질관리, ,, 단순생산직, 외",경기전체,경력무관,학력무관,,~08/01(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54346653
54458609,신입,2026-07-19 15:46:59,2026-07-14,등록일,(주)웅진씽크빅,웅진 성남 분당 프라임학원 영어강사 모집공고-성남 분당구,"학원강사, ,, 입시학원, ,, 학습지",경기 성남시 분당구,경력무관,초대졸↑,계약직,~08/13(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54458609
54303321,신입,2026-07-19 15:46:59,2026-07-15,수정일,글로벌JMT,[삼립/본사직접채용  ]  시급 만삼천원 / 통근버스/ 안산 /인천,"포장, ,, 장비/공구, ,, 생산, ,, 품질관리, ,, 단순생산직, 외",서울전체,경력무관,학력무관,,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54303321
54406068,신입,2026-07-19 15:46:59,2026-07-10,수정일,에이스휴먼파워(주),우리카드 [대기업/신도림/성과급/영업X] 단기미납 상담 신입가능,"인바운드, ,, 콜센터/고객센터, ,, 아웃바운드, ,, 상담원, ,, 전화상담, 외",인천전체,경력무관,고졸↑,파견직,~07/23(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54406068
54403652,신입,2026-07-19 15:46:59,2026-07-16,수정일,에이스휴먼파워(주),"[업무下/긴급/로테이션,주간] 보람그룹 상황실 채용(콜수4~5건)","서비스기획, ,, 텔레마케터, ,, 인바운드, ,, 콜센터/고객센터, ,, 채팅상담, 외",서울전체,경력무관,학력무관,파견직,~07/24(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54403652
54417209,신입,2026-07-19 15:46:59,2026-07-09,등록일,(주)유니에스,"[신촌 세브란스병원] 병동 보조원 채용/ 주5일/ 신입,초보가능","중환자실, ,, 수술, ,, 매장매니저, ,, 수술보조, ,, 개인병원, 외",서울 서대문구,경력무관,고졸↑,,~08/08(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54417209
54256958,신입,2026-07-19 15:46:59,2026-07-07,수정일,(주)타임교육,(주)타임교육 성북미래탐구초등학원 수학강사 채용 공고,"학원강사, ,, 보습학원",서울 성북구,경력무관,초대졸↑,,~08/22(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54256958
54276072,신입,2026-07-19 15:46:59,2026-06-24,수정일,주식회사 인포유금융서비스,시흥 정왕동 여성병원 태아보험 창구 상담실장 모집,"보험설계사, ,, 보험사",경기 시흥시,경력1년↑,고졸,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54276072
54244567,신입,2026-07-19 15:46:59,2026-06-22,등록일,(주)대교,"눈높이 강남교육국 선생님(센터,방문,공부방)모집 합니다.","학원생관리, ,, 교육상담, ,, 진로상담, ,, 방문상담, ,, 교육컨설턴트, 외",서울 강남구,경력무관,대졸↑,위촉직,~07/22(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54244567
54428853,신입,2026-07-19 15:46:59,2026-07-10,등록일,(주)유니에스,[7H근무/본사/중식] 신세계인터내셔날 이커머스 입점팀 AMD 채용,"패션잡화, ,, 기획MD, ,, 온라인MD, ,, 파견대행",서울 강남구,경력무관,학력무관,파견직,내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54428853
54498056,신입,2026-07-19 15:46:59,2026-07-19,등록일,퍼솔켈리코리아(유),[일본계기업] 기술영업 담당자 모집(신입지원가능),"기술영업, ,, 헤드헌팅",서울 중구,경력무관,대졸↑,정규직,~08/03(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54498056
54283892,신입,2026-07-19 15:46:59,2026-06-25,등록일,(주)맨파워코리아,[]동탄/주5일/2주주/2주야/외국계 자동차 부품회사 조립 채용,"포장, ,, 사출성형, ,, 장비/공구, ,, 자동화라인, ,, 생산, 외",경기 화성시,경력무관,학력무관,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54283892
54268327,신입,2026-07-19 15:46:59,2026-07-10,수정일,글로벌JMT,[성남/베이커리 /안전감시단 정규직/기숙사 가능/ 경력우대/,"안전관리자, ,, 안전보건관리자, ,, 안전요원, ,, 안전보건관리자, ,, 파견대행",서울전체,경력무관,학력무관,,~07/24(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54268327
