job_id,키워드,수집일시,등록일,기업명,공고제목,직무카테고리,근무지역,경력,학력,마감일,공고링크
6236653,신입,2026-07-20 01:20:09,2026-07-08,Enhans,[인핸스] Sales Development Representative (신입/경력),,서울 / 서울 서초구,인턴.신입 / 사원,,08.07,https://www.peoplenjob.com/jobs/6236653
6236222,신입,2026-07-20 01:20:09,2026-07-07,루이비통코리아(유),[루이비통코리아] 2026 스토어 신입 대규모 공개채용,,서울 / 광주 / 부산,인턴.신입,,07.26,https://www.peoplenjob.com/jobs/6236222
6236087,신입,2026-07-20 01:20:09,2026-07-07,김앤장법률사무소,[김.장 법률사무소] 일어번역 직원 채용,,서울 종로구,인턴.신입 / 사원,,07.21,https://www.peoplenjob.com/jobs/6236087
6236324,신입,2026-07-20 01:20:09,2026-07-07,지멘스 헬시니어스,[지멘스헬시니어스] Software Engineer,,경기 성남 / 경기 분당,인턴.신입 / 사원,,08.06,https://www.peoplenjob.com/jobs/6236324
6235994,신입,2026-07-20 01:20:09,2026-07-07,Samkoo Inc,U 신세계인터내셔날 패션VMD실 해외패션 라운딩 VMD 신입.경력 채용,,서울 강남,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6235994
6235415,신입,2026-07-20 01:20:09,2026-07-06,"Amphenol DaeShin Electronics and Precision Co., Lt",[외국계/암페놀] 인사총무 담당자 채용 (신입/정규직),,경기 부천,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6235415
6233713,신입,2026-07-20 01:20:09,2026-07-03,써모피셔사이언티픽코리아,전자현미경 Field Service Engineer (신입/경력 엔지니어 모집) (경기),,경기 / 대전 / 전라,인턴.신입 / 사원 / 대리.과장,,채용시,https://www.peoplenjob.com/jobs/6233713
6233348,신입,2026-07-20 01:20:09,2026-07-02,온리원파트너스(주),[철강/물류운송 중견기업] 배차관리 채용,,전남 광양시,인턴.신입 / 사원 / 대리.과장,,채용시,https://www.peoplenjob.com/jobs/6233348
6233218,신입,2026-07-20 01:20:09,2026-07-02,TEMPEED,[청담역/글로벌 명품 브랜드]본사 무역 사무 채용(신입·경력 무관),,서울 / 강남 / 청담,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6233218
6233114,신입,2026-07-20 01:20:09,2026-07-02,Manpowersearch,초긴급!! 의료기기 Sales Engineer (신입사원 또는 주임급),,서울 강남,인턴.신입 / 사원,,08.01,https://www.peoplenjob.com/jobs/6233114
