rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크,매칭타겟명
54422657,신입,2026-07-19 15:46:59,2026-07-09,등록일,(주)케이티엠앤에스,[KT M&S] KT플라자 영업 정규직 채용공고,"핸드폰영업, ,, 영업직, ,, 매장관리, ,, 판매직, ,, IT·통신기기판매",경기 수원시 영통구,경력무관,고졸↑,정규직,~08/08(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54422657,케이티
54397383,신입,2026-07-19 15:46:59,2026-07-07,등록일,(주)케이티엠앤에스,KT플라자 본사직영점 인재 모집(수원 전지역),"통신기기판매, ,, 핸드폰판매, ,, IT·통신기기판매",경기 수원시 영통구,경력무관,고졸↑,정규직,~08/06(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54397383,케이티
53969333,신입,2026-07-19 15:46:59,2026-07-01,수정일,(주)데이원컴퍼니,[제로베이스][프리랜서] 커리어 상담 매니저(평일·주말 선택),"직업상담사, ,, 영업, ,, 직업전문학교",서울 강남구,경력무관,학력무관,프리랜서,~07/21(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53969333,데이원컴퍼니
54334109,신입,2026-07-19 15:46:59,2026-07-01,등록일,(주)알피바이오,[제약바이오/상장사] 구매 경력 채용,"외자구매, ,, 양산구매, ,, 창고관리, ,, 재고관리, ,, 자재관리, 외",서울 강남구,경력7년↑,대졸↑,정규직,~07/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54334109,알피바이오
54044901,신입,2026-07-19 15:46:59,2026-06-22,수정일,(주)차바이오텍,(주)차바이오텍 인사팀(총무파트) 장애인 사무보조를 채용해요,"자료입력, ,, 문서작성, ,, 비품관리, ,, 전산총무, ,, 사무보조, 외",경기 성남시 분당구,경력무관,고졸↑,계약직,~07/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54044901,차바이오텍
54290674,신입,2026-07-19 15:46:59,2026-06-26,등록일,(주)케이티엠앤에스,(주)케이티엠앤에스 KT플라자 영업사원 채용합니다(오산/동탄),"핸드폰영업, ,, 매장관리, ,, 고객응대, ,, 핸드폰판매, ,, IT·통신기기판매",경기 화성시,경력무관,학력무관,정규직,~07/26(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54290674,케이티
54348326,신입,2026-07-19 15:46:59,2026-07-03,수정일,(주)옵트론텍,(주)옵트론텍 Mobile Actuator 인력 모집,"자동화설계, ,, 광학/렌즈, ,, 제품설계, ,, 전장설계, ,, 회로설계, 외",경기 과천시,경력3년↑,초대졸↑,정규직,~08/01(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54348326,옵트론텍
54352525,신입,2026-07-19 15:46:59,2026-07-10,수정일,(주)소노인터내셔널,[소노인터내셔널] 본사 식음기획 경력직 채용,"식음기획, ,, 관광",서울 강서구,경력 2~5년,초대졸↑,정규직,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54352525,소노인터내셔널
54242125,신입,2026-07-19 15:46:59,2026-06-22,등록일,(주)포스코이앤씨,포스코이앤씨 서리풀 업무복합시설 설비기계직(프로젝트계약직),"산업설비, ,, 건축설비, ,, 건축설계, ,, 기계기사, ,, 기계설계, 외",서울 서초구,경력무관,학력무관,계약직,~08/21(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54242125,포스코이앤씨
54084503,신입,2026-07-19 15:46:59,2026-07-06,수정일,현대건설(주),현장 안전 지킴이(직영) 모집 - HS 도안리버파크 1단지,"작업반장, ,, 현장기사, ,, 안전관리자, ,, 현장관리자, ,, 위험성평가, 외",대전 유성구,신입·경력,학력무관,,~08/04(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54084503,현대건설
