rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크
54421674,마케팅,2026-07-20 00:58:18,2026-07-13,수정일,(주)맨파워그룹코리아,[대전/18M] 글로벌 제약사 Medical Representative,"영업마케팅, ,, 영업, ,, 영업관리, ,, 영업기획, ,, 영업전략, 외",서울 송파구,경력무관,대졸↑,,~07/24(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54421674
54383783,마케팅,2026-07-20 00:58:18,2026-07-08,수정일,에이스휴먼파워(주),"[3,400만이상/정규직] 에이스휴먼파워 잡매니저(인사) 채용","디지털마케팅, ,, 광고마케팅, ,, 모바일마케팅, ,, 바이럴마케팅, ,, 인사, 외",서울 서초구,경력무관,고졸↑,정규직,내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54383783
54338956,마케팅,2026-07-20 00:58:18,2026-07-01,수정일,(주)사람인에이치에스,[정규직/LVMH/패션그룹] 로에베 롯데 월드타워 SCA 채용,"영업, ,, 영업직, ,, 고객관리, ,, 가전판매, ,, 세일즈프로모션, 외",서울전체,경력 3~8년,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54338956
54403078,마케팅,2026-07-20 00:58:18,2026-07-08,등록일,(주)사람인에이치에스,[정규직/이천/인센티브] 시몬스 N32크루 테라스점 채용,"가전판매, ,, 수행비서, ,, 임원비서, ,, 세일즈프로모션, ,, 화장품판매, 외",경기 이천시,신입·경력,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54403078
54419639,마케팅,2026-07-20 00:58:18,2026-07-09,등록일,삼성생명보험 (주) 서초사옥,2026년 삼성생명 기업보험 재무컨설턴트 GFC 모집,"재무기획, ,, 금융컨설팅, ,, 금융상품영업, ,, 재무분석, ,, 컨설턴트, 외",서울 강남구,신입·경력,고졸↑,,~08/08(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54419639
54340192,마케팅,2026-07-20 00:58:18,2026-07-02,수정일,(주)사람인에이치에스,[로에베/LVMH/럭셔리] 롯데월드타워점 시니어 채용,"영업, ,, 영업직, ,, 고객관리, ,, 가전판매, ,, 세일즈프로모션, 외",서울전체,경력 3~6년,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54340192
54493125,마케팅,2026-07-20 00:58:18,2026-07-17,등록일,(주)에이치알그룹,[일본 근무] 영업관리,"영업마케팅, ,, 영업관리, ,, 영업전략, ,, 소비재",서울 강남구,경력 5~16년,대졸↑,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54493125
54346787,마케팅,2026-07-20 00:58:18,2026-07-02,등록일,(주)사람인에이치에스,[명동/LVMH/정규직] 셀린느 롯데본점 SCA 채용,"영업, ,, 영업직, ,, 고객관리, ,, 가전판매, ,, 세일즈프로모션, 외",서울전체,경력 3~8년,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54346787
54426604,마케팅,2026-07-20 00:58:18,2026-07-15,수정일,고려신용정보(주),[정착지원 18개월]TM채널을 통한 채권수임 영업관리사 모집,"영업마케팅, ,, 영업, ,, 영업관리, ,, 영업직, ,, 거래처영업, 외",서울 서초구,경력무관,학력무관,위촉직,~08/09(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54426604
54335391,마케팅,2026-07-20 00:58:18,2026-07-01,등록일,(주)사람인에이치에스,[정규직/럭셔리/남성의류] 제냐코리아 파주아울렛 주니어 채용,"영업, ,, 영업직, ,, 고객관리, ,, 가전판매, ,, 임원비서, 외",서울전체,경력 1~4년,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54335391
